ProjectID,ProjectName,Department,CostCenterID,StartMonth,InServiceMonth,BudgetTRY,ForecastCostTRY,UsefulLifeMonths,Status,BudgetVarianceTRY,BudgetVariancePct
CPX-001,Retail POS Modernization,Technology,CC-701,2023-02-01,2023-06-01,8400000,8150000,48,Completed,-250000,-0.02976190476190476
CPX-002,Flagship Store Refurbishment,Sales,CC-201,2023-05-01,2023-10-01,6200000,6450000,60,Completed,250000,0.04032258064516129
CPX-003,Cloud Data Platform,Technology,CC-701,2024-01-01,2024-07-01,12800000,12300000,48,Completed,-500000,-0.0390625
CPX-004,Fulfillment Automation,Operations,CC-601,2024-04-01,2024-11-01,15500000,15900000,72,Completed,400000,0.025806451612903226
CPX-005,Customer Experience Platform,Customer Success,CC-401,2025-01-01,2025-06-01,9600000,9350000,48,Completed,-250000,-0.026041666666666668
CPX-006,Regional Store Upgrade,Sales,CC-202,2025-03-01,2025-09-01,7800000,8050000,60,Completed,250000,0.03205128205128205
CPX-007,Finance Planning System,Finance & Corporate,CC-801,2025-07-01,2026-03-01,10500000,10200000,60,Completed,-300000,-0.02857142857142857
CPX-008,AI Forecasting Workbench,Technology,CC-701,2026-02-01,2026-10-01,13500000,12900000,48,In Progress,-600000,-0.044444444444444446
CPX-009,Warehouse Capacity Expansion,Operations,CC-601,2026-04-01,2027-01-01,18000000,17600000,72,Approved,-400000,-0.022222222222222223
CPX-010,Subscription Mobile Experience,Customer Success,CC-401,2026-07-01,2027-03-01,11200000,10850000,48,Approved,-350000,-0.03125
